Zipcode,CountTaxReturns2016,CountDependents2016,AdjGrossIncome2016,TotalIncome2016,CapGains2016,TaxesPaid2016
20008,17010,3360,3213475,3288334,524581,257905
20009,32250,5750,3094240,3147079,150000,191672
20010,19260,6580,1248236,1265346,36426,62560
20011,37350,19400,2105966,2129701,38344,118062
20012,7790,3820,691653,701396,20288,50145
20015,7700,4180,1784931,1834814,114763,154934
20016,14310,6010,3882614,3971103,512370,351984
20017,9990,4550,636458,643101,9521,36030
20018,9550,5220,564878,570115,3979,34060
20019,28110,21870,1012458,1018766,4712,38123
20020,24360,18900,947339,953729,5553,38058
20024,7800,1990,584084,591566,11347,30309
20032,16290,14160,558014,561761,1806,16104
20036,3820,290,530596,540119,55012,36570
20037,5150,420,849442,867214,121999,69294
20105,8960,8790,1136041,1148370,23735,89604
20106,2290,1310,174602,177295,3811,10071
20109,19370,13720,934446,942975,7189,39111
20110,22360,16480,1350014,1363079,20271,81396
20111,16630,12990,1045534,1056191,15437,63727
20112,12640,9310,1302747,1317121,20285,97379
20115,2630,1590,265058,268786,10260,19314
20117,820,440,182268,184791,17076,13069
20119,1930,1140,141920,143788,4284,8444
20120,19990,13930,1917964,1943556,50214,133921
20121,13810,9160,992631,1003897,17486,60085
20124,7000,4930,1153613,1174227,68773,94869
20129,300,190,48516,49636,1316,4378
20130,150,60,13095,13191,99,853
20132,6890,5910,880094,895110,56577,67216
20135,1330,660,138411,141099,20453,8690
20136,12780,12390,1256602,1268804,12208,93383
20137,940,520,104447,105993,5931,7013
20141,2910,2650,365978,370567,14491,28128
20143,550,310,63948,65163,1562,5406
20144,450,230,69331,70587,9000,6246
20147,29420,21700,3252843,3292961,95446,226099
20148,19150,20210,2905395,2938522,110738,222276
20151,10520,7960,1044526,1057669,42590,72626
20152,13510,13340,1697890,1718005,38587,130400
20155,15740,12070,1635487,1652914,45140,122758
20158,1880,1440,260543,265057,7047,19828
20164,20470,13180,1204738,1216328,12769,71351
20165,16010,11440,1855112,1879280,56783,132348
20166,5810,3830,478446,483557,7101,28008
20169,10700,8890,1443661,1461259,85782,112815
20170,21050,14250,1822583,1846052,52844,124420
20171,23110,16350,2892322,2928911,88426,196263
20175,13960,10550,1742497,1765612,49264,134158
20176,22450,18300,2728924,2768797,116775,198714
