,0
Zipcode[T.60952],4482.1019118575805
Zipcode[T.60953],-157907.722363042
Zipcode[T.60955],-137654.4512315757
Zipcode[T.60957],-132011.12972789953
Zipcode[T.60958],-136570.4446821677
Zipcode[T.60959],-179681.84114641088
Zipcode[T.60960],-155988.441566184
Zipcode[T.60961],-127047.76344298928
Zipcode[T.60970],-55648.6476074748
Zipcode[T.60973],-134180.7004361184
Zipcode[T.61001],14124.059613212135
Zipcode[T.61008],-102661.73919010794
Zipcode[T.61014],-56984.28101523276
Zipcode[T.61016],-88398.3860607774
Zipcode[T.61018],-53548.70916059774
Zipcode[T.61020],-167795.19453132933
Zipcode[T.61021],-43698.9958038045
Zipcode[T.61024],-106694.80419451617
Zipcode[T.61025],281660.6768827521
Zipcode[T.61032],-97782.15637870932
Zipcode[T.61036],-157933.5229656615
Zipcode[T.61038],-164011.3520310867
Zipcode[T.61039],-147958.62089750043
Zipcode[T.61049],-116880.99695211044
Zipcode[T.61054],-136474.13816187077
Zipcode[T.61061],-83176.81224668305
Zipcode[T.61062],-136702.04863357308
Zipcode[T.61063],-165030.94135435898
Zipcode[T.61067],-188495.89532845985
Zipcode[T.61071],-138374.61533250572
Zipcode[T.61074],-136669.52863269526
Zipcode[T.61080],61421.62494789888
Zipcode[T.61081],277257.64779791783
Zipcode[T.61084],200463.75891425228
Zipcode[T.61087],53053.95260985256
Zipcode[T.61088],70132.82118199435
Zipcode[T.61089],-107992.78373368038
Zipcode[T.61108],-108439.21564695508
Zipcode[T.61114],75414.2046730186
Zipcode[T.61231],17902.22991793068
Zipcode[T.61234],-73939.1339499433
Zipcode[T.61235],-58511.209928014534
Zipcode[T.61239],-120740.68321170416
Zipcode[T.61241],110140.07383734107
Zipcode[T.61777],151109.9667572762
Zipcode[T.61778],57382.648052842094
Zipcode[T.61811],536223.3362107862
Zipcode[T.61813],63646.3865602254
Zipcode[T.61818],297489.70864535787
Zipcode[T.61841],247754.83981149102
Zipcode[T.61842],215419.7125899768
Zipcode[T.61845],372361.18536629074
Zipcode[T.61846],-6896.092398620593
Zipcode[T.61847],642197.4239116483
Zipcode[T.61849],104643.32211088647
Zipcode[T.61851],341970.1013904611
Zipcode[T.61853],322809.048753948
Zipcode[T.61856],362995.8938737451
Zipcode[T.61863],273244.16547431226
Zipcode[T.61864],131933.5728559545
Zipcode[T.61874],113469.98255522971
Zipcode[T.61882],275687.01181429386
Zipcode[T.61883],248326.70228594655
Zipcode[T.61914],197751.30730086638
Zipcode[T.61917],71220.24559974257
Zipcode[T.61919],52359.51210498453
Zipcode[T.61924],78082.02178808395
Zipcode[T.61925],33786.666081117924
Zipcode[T.61928],463.10675723689684
Zipcode[T.61929],-23588.119110325977
Zipcode[T.61930],47601.60314832127
Zipcode[T.61938],52646.555425347426
Zipcode[T.61942],187358.0975537648
Zipcode[T.61943],-256.14946172754514
Zipcode[T.61953],29165.802384401424
Zipcode[T.62002],131510.62962536738
Zipcode[T.62006],284734.8860415444
Zipcode[T.62014],95158.40139075939
Zipcode[T.62015],291752.475440474
Zipcode[T.62018],50007.29409870771
Zipcode[T.62019],54812.07856228699
Zipcode[T.62022],386443.2666242616
Zipcode[T.62025],306043.3136494265
Zipcode[T.62032],238015.52272097193
Zipcode[T.62040],468320.24460150895
Zipcode[T.62047],151191.3903472705
Zipcode[T.62067],253852.7865258318
Zipcode[T.62069],336930.6935749834
Zipcode[T.62074],406922.7395319454
Zipcode[T.62075],500991.0394669858
Zipcode[T.62079],229322.4003627904
Zipcode[T.62080],194698.14519470386
Zipcode[T.62081],180421.34544634627
Zipcode[T.62082],227523.08347369416
Zipcode[T.62084],278412.5987903745
Zipcode[T.62086],275730.1107361851
Zipcode[T.62087],388256.9383727265
Zipcode[T.62088],231049.25515838337
Zipcode[T.62090],219334.61007384857
Zipcode[T.62097],105330.88060677059
Zipcode[T.62214],101085.39165829385
Zipcode[T.62232],83756.99931016716
Zipcode[T.62234],205323.54582322884
Zipcode[T.62236],160360.03805214434
Zipcode[T.62245],477164.55528370186
