Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
3/8/2016,76.796776,41.698818,26.266191,81.93158,33.62
3/9/2016,76.583015,42.452995,26.467096,85.69854,31.62
3/10/2016,76.378532,41.847904,26.056555,86.732643,29.88
3/11/2016,76.387833,42.794998,26.685474,87.323509,32.28
3/14/2016,76.592308,42.514378,26.161375,87.028076,31.72
3/15/2016,76.973358,42.207451,25.890589,87.037292,30.89
3/16/2016,77.019844,43.294865,26.650534,88.080605,29.69
3/17/2016,78.162987,44.443665,27.550241,89.456276,27.94
3/18/2016,78.255936,43.92627,27.366802,90.194908,27.45
3/21/2016,77.716888,43.496559,27.183372,89.040817,26.21
3/22/2016,78.181595,42.882698,27.026142,88.172928,29.44
3/23/2016,77.8377,42.312683,26.379749,86.40947,29.08
3/24/2016,78.051468,42.72485,26.571922,87.572807,30.6
3/28/2016,78.274529,42.72485,26.571922,87.415848,29.04
3/29/2016,78.56263,42.794998,26.510777,88.006737,30.66
3/30/2016,78.553337,43.593018,27.017406,87.942116,30.77
3/31/2016,77.689003,43.137009,26.36228,88.080605,29.64
4/1/2016,77.103477,42.514378,25.829443,87.028076,31.48
4/4/2016,77.289368,42.575764,25.838179,86.261742,31.87
4/5/2016,76.406425,41.48835,25.270403,85.560059,32.15
4/6/2016,77.428772,42.137295,25.593599,87.563568,33.07
4/7/2016,76.55513,41.926823,25.445101,87.517403,32.78
4/8/2016,77.335815,43.584251,26.336075,88.939247,33.75
4/11/2016,77.438065,43.873646,26.475836,87.932869,34.4
4/12/2016,78.395348,44.882137,27.25325,90.028725,34.66
4/13/2016,78.841476,45.32061,27.410482,90.111816,34.57
4/14/2016,79.399109,45.680161,27.008669,90.462662,35.92
4/15/2016,78.971588,45.750309,26.772823,89.770203,37.9
4/18/2016,79.724403,45.706467,27.13096,91.127419,36.5
4/19/2016,80.124054,46.372944,27.742414,92.789314,38.29
4/20/2016,80.672401,46.513252,27.829765,93.888023,37.84
4/21/2016,80.663109,46.671108,27.724943,93.620262,38.5
4/22/2016,81.350861,46.785107,28.08308,94.183472,37.18
4/25/2016,81.164978,45.592468,27.76862,93.721832,36.34
4/26/2016,81.443794,46.188782,29.253569,94.441978,38.46
4/27/2016,82.215195,47.284969,29.559299,95.882286,40.2
4/28/2016,81.815567,46.872807,29.253569,94.543541,39.44
4/29/2016,82.159447,46.785107,29.33219,94.340416,39.91
5/2/2016,82.837914,46.925419,29.367123,95.38372,41.45
5/3/2016,81.889908,45.671394,28.441216,93.546394,39.79
5/4/2016,81.731926,44.548889,27.960667,92.872414,39.46
5/5/2016,81.82486,44.8909,28.10305,93.638741,39.39
5/6/2016,82.261681,45.00491,28.10305,94.044975,38.28
5/9/2016,82.317444,44.11042,27.658102,92.650833,38.32
5/10/2016,83.637199,44.811977,28.192039,93.500244,38.34
5/11/2016,83.234192,44.864597,28.183142,93.380211,36.79
5/12/2016,84.040199,44.8909,28.352222,94.285027,35.7
5/13/2016,83.093613,43.970108,28.005159,93.010902,35.89
5/16/2016,83.94648,44.99614,28.530205,94.441978,37.75
5/17/2016,83.908997,44.987366,28.672588,94.003464,37.26
5/18/2016,83.740295,44.826576,28.592497,93.359657,39.72
5/19/2016,84.452576,44.504978,28.459009,93.163719,40.36
5/20/2016,84.105804,44.42458,28.414516,93.10775,42.17
5/23/2016,83.974594,43.879662,27.996262,92.725204,41.76
5/24/2016,84.040199,44.21912,28.334425,93.480949,41.5
5/25/2016,84.593155,45.425098,29.242125,94.955147,40.36
5/26/2016,84.162041,44.960571,29.010748,94.703224,39.78
5/27/2016,84.358849,44.603245,28.797173,95.1884,41.08
5/31/2016,83.431015,43.575932,27.942867,94.236725,42.63
6/1/2016,83.637199,43.826061,27.889477,94.358002,43.18
6/2/2016,82.971779,43.933258,28.049656,93.798187,43.73
6/3/2016,82.821823,44.487114,28.370022,93.919479,42.64
6/6/2016,83.730927,44.799774,28.948456,94.395332,44.04
6/7/2016,85.014915,46.559605,29.429001,96.401352,45.33
6/8/2016,85.08989,47.747711,29.606981,96.186768,46.03
6/9/2016,84.977417,47.372517,29.402304,95.925499,45.92
6/10/2016,84.33075,46.666801,28.672588,95.151093,44.78
6/13/2016,84.902435,46.095078,28.352222,95.263062,43.65
6/14/2016,84.75248,44.781906,27.524616,94.497963,43.78
6/15/2016,84.499435,44.397781,27.720392,93.891487,44.32
6/16/2016,85.492889,45.130302,28.503506,94.302025,44.66
6/17/2016,85.024269,46.863331,29.144236,94.768555,43.44
6/20/2016,85.399178,48.131844,29.740463,95.738907,44.66
6/21/2016,85.783432,49.123425,30.390097,96.326721,46.23
6/22/2016,85.446022,48.819695,30.158718,95.440331,46.7
6/23/2016,86.036484,50.793922,30.817247,97.446365,46.21
6/24/2016,83.777786,46.631073,29.348909,95.076447,47.72
6/27/2016,83.281059,46.300541,28.467909,93.63958,48.31
6/28/2016,85.202362,47.184925,29.58029,94.824524,48.19
6/29/2016,86.655037,49.132359,30.959631,96.494659,48.16
6/30/2016,87.854675,50.025669,31.600359,97.810249,47.75
7/1/2016,87.948395,50.633121,32.036411,97.175781,48.08
7/5/2016,87.179871,50.24007,31.947422,96.634621,48.62
7/6/2016,88.182701,50.043537,31.653753,97.576973,49.56
7/7/2016,87.123642,49.677277,31.50247,96.149437,49.48
7/8/2016,87.667236,49.98101,31.965216,97.754265,49.33
7/11/2016,87.995247,50.302597,32.1343,98.332748,49.58
7/12/2016,88.988701,51.27631,32.846222,99.629677,49.51
7/13/2016,88.923096,51.061916,32.534752,99.508369,49.1
7/14/2016,88.988701,51.142315,32.534752,99.555023,49.01
7/15/2016,89.148033,50.927917,32.534752,99.862923,49.17
7/18/2016,88.866875,51.27631,32.187695,98.98587,48.62
7/19/2016,88.538841,50.936852,32.063107,98.939217,49.69
7/20/2016,88.032738,50.95472,32.000813,98.519356,50.36
7/21/2016,87.957771,50.865383,31.894028,98.332748,51.23
7/22/2016,88.107719,51.374577,31.920717,98.584663,50.56
7/25/2016,86.411354,49.802338,31.057522,96.168106,49.07
7/26/2016,85.783432,50.704586,30.781651,95.804214,48.88
7/27/2016,85.202362,50.668858,30.763855,95.412346,48.49
7/28/2016,84.536926,49.257412,30.247709,94.973808,48.01
7/29/2016,83.36541,48.426636,30.61257,95.617607,46.21
8/1/2016,80.469414,46.434544,29.526892,92.473274,47.98
8/2/2016,81.575325,46.514942,29.76716,92.921135,49.37
8/3/2016,81.997078,46.532806,29.912146,93.872818,48.85
8/4/2016,81.987701,47.167061,29.90309,93.667564,49.13
8/5/2016,82.062675,47.193859,30.039011,93.779526,50.11
8/8/2016,83.028,47.461849,30.057137,94.423325,47.64
8/9/2016,83.131104,47.301064,30.247427,94.535294,46.33
8/10/2016,81.675484,46.700813,29.912146,93.434296,47.85
8/11/2016,81.968498,47.88311,30.483028,94.609924,49.88
8/12/2016,83.036575,47.719406,30.573643,95.319038,48.33
8/15/2016,82.998772,48.03772,30.691439,95.888184,48.99
8/16/2016,83.102745,48.71981,30.999535,95.74823,49.01
8/17/2016,83.282341,48.919899,30.990475,96.379951,48.65
8/18/2016,84.038498,49.329155,31.398247,97.63398,46.6
8/19/2016,82.989326,48.519733,31.108273,96.474243,47.43
8/22/2016,83.168915,47.928589,30.772995,96.115959,45.14
8/23/2016,82.913696,48.083191,30.927038,95.870804,45.41
8/24/2016,83.197266,47.783073,31.053907,96.361099,44.76
8/25/2016,82.667946,47.65575,31.008596,96.068802,46.8
8/26/2016,82.488358,47.737598,30.954229,95.531364,44.75
8/29/2016,83.027115,47.855827,31.026724,96.219666,45.68
8/30/2016,82.724655,47.901299,30.899853,95.889648,45.95
8/31/2016,82.365486,47.010025,30.682383,94.833649,45.24
9/1/2016,82.081924,46.618958,30.501148,94.484787,44.65
9/2/2016,82.630135,47.719406,31.262318,95.163658,44.94
9/6/2016,83.717133,48.210518,31.434484,96.577957,44.75
9/7/2016,83.405212,48.547024,31.497919,97.002243,44.19
9/8/2016,84.17083,49.119976,31.787888,98.17141,43.13
9/9/2016,82.081924,47.683033,31.126394,95.48423,42.92
9/12/2016,82.507263,47.792164,31.380119,96.408241,41.92
9/13/2016,80.541229,46.455257,30.356165,93.749352,41.14
9/14/2016,79.964653,45.918678,30.193056,92.797058,41.6
9/15/2016,80.418358,46.282459,30.455841,93.815346,40.06
9/16/2016,79.42588,45.563984,30.183994,92.250191,39.51
9/19/2016,79.236839,45.891392,30.301792,92.438766,40.83
9/20/2016,78.017517,45.473042,29.96652,92.118195,41.93
9/21/2016,78.735886,46.3825,30.455841,93.937927,41.8
9/22/2016,78.96273,47.100971,31.044838,94.267937,43.02
9/23/2016,78.877663,46.446163,30.772995,93.551361,42.77
9/26/2016,78.509026,45.882298,30.519276,93.13649,41.71
9/27/2016,78.679169,45.545799,30.455841,93.325058,43.49
9/28/2016,82.138641,47.219204,31.570415,96.313957,44.49
9/29/2016,81.722748,47.955872,31.76977,95.48423,45.74
9/30/2016,82.497803,48.046814,31.860378,97.039955,46.58
10/3/2016,82.280418,48.556114,32.141289,96.596809,46.79
10/4/2016,81.524239,48.947178,32.331577,95.48423,48.22
10/5/2016,82.233154,49.920307,32.648731,96.389389,48.52
10/6/2016,82.270966,49.547428,32.576244,96.342239,47.05
10/7/2016,81.987404,49.720215,32.775597,96.427101,48.1
10/10/2016,83.594261,50.747913,33.228676,98.039398,46.77
10/11/2016,82.93261,49.738411,32.422199,97.153099,47.33
10/12/2016,82.356033,49.47467,32.431259,96.313957,47.64
10/13/2016,81.817268,49.12907,32.331577,95.031639,46.98
10/14/2016,81.798355,49.174545,32.476563,95.305092,46.35
10/17/2016,81.798355,48.583397,32.168476,95.569092,44.7
10/18/2016,82.015755,48.95628,32.603432,95.974518,43.16
10/19/2016,82.393837,49.256393,32.666855,96.427101,44.44
10/20/2016,82.431648,49.301868,32.666855,96.04995,44.11
10/21/2016,81.873985,49.138168,32.848087,95.51252,45.07
10/24/2016,82.148094,48.901703,32.50375,94.909081,44.83
10/25/2016,81.968498,48.938087,32.657803,95.012787,45.5
10/26/2016,82.318222,48.283272,32.485626,95.408806,47.62
10/27/2016,82.157539,48.556114,32.621552,94.211365,45.88
10/28/2016,80.134796,48.001339,32.331577,97.888542,46.29
10/31/2016,78.754776,47.573898,32.213776,98.765419,44.9
11/1/2016,79.066711,49.929401,30.908916,100.396568,43.58
11/2/2016,78.877663,48.883518,30.818302,99.368843,43.91
11/3/2016,79.076164,48.692532,30.664257,99.368843,43.03
11/4/2016,78.991089,48.165043,30.39241,98.793709,43.3
11/7/2016,80.768089,49.265491,30.827368,100.74543,43.44
11/8/2016,81.349762,49.422832,30.882711,101.160301,45.34
11/9/2016,82.246132,49.931866,31.214783,101.490303,46.32
11/10/2016,83.008995,50.339096,31.30702,101.631737,44.48
11/11/2016,81.693039,48.386246,30.605982,100.547417,45.93
11/14/2016,81.321159,47.793907,30.421497,100.50029,44.67
11/15/2016,82.789665,48.821239,31.002623,102.734886,47.05
11/16/2016,81.769341,48.26593,30.716673,103.182465,47.83
11/17/2016,81.273476,48.3955,30.901159,102.963432,48.24
11/18/2016,81.321159,48.16412,31.030294,103.99192,48.81
11/21/2016,82.474991,49.358044,31.731337,104.925179,48.69
11/22/2016,82.656166,49.700489,31.860477,105.344208,49.83
11/23/2016,82.885025,49.311768,31.731337,105.706085,50.44
11/25/2016,83.075745,49.422832,31.611427,105.706085,49.81
11/28/2016,82.45591,48.127098,31.104094,105.229935,51.35
11/29/2016,81.912376,47.932739,30.919609,104.125244,50.79
11/30/2016,83.247398,50.135479,32.294014,106.239372,50.18
12/1/2016,83.19017,51.051743,32.644539,107.886856,50.44
12/2/2016,82.999451,51.236855,32.727554,107.610687,50.35
12/5/2016,83.419037,51.375679,32.727554,107.848763,49.94
12/6/2016,83.495316,51.570042,32.81057,107.382149,50.29
12/7/2016,83.981644,52.106834,33.105751,108.982018,51.6
12/8/2016,84.220032,52.14386,33.382473,109.6772,50.43
12/9/2016,84.868469,51.949505,33.216438,110.286682,50.85
12/12/2016,86.756554,52.514072,33.67765,111.562767,50.52
12/13/2016,88.28228,53.467354,33.935928,111.819885,49.96
12/14/2016,86.37513,52.588116,33.225666,110.42952,49.18
12/15/2016,86.670731,53.023109,33.068848,111.467537,49.72
12/16/2016,86.947266,53.578419,33.751442,112.448418,48.7
12/19/2016,86.222549,53.55991,33.723774,112.038925,46.86
12/20/2016,86.232086,53.680233,33.686874,112.324615,46.67
12/21/2016,86.089043,53.68948,33.926701,112.286522,45.34
12/22/2016,86.651665,53.513634,34.046619,113.105499,44.66
12/23/2016,86.499084,53.421078,34.148087,112.772194,44.07
12/27/2016,86.537231,53.606182,34.231102,112.581734,44.89
12/28/2016,86.108124,53.365551,34.360245,112.286522,44.98
12/29/2016,86.1558,53.819054,34.498608,112.200813,45.27
12/30/2016,86.069984,53.652462,34.48016,112.086533,44.66
1/3/2017,86.670731,54.420647,35.052059,112.229385,43.41
1/4/2017,85.717155,54.735317,35.319561,112.200813,43.32
