Competitor,Date,Adj Close
Petróleo Brasileiro S.A. - Petrobras,11/24/2015,48.00
Shell,11/24/2015,42.82
BP,11/25/2015,29.93
Petróleo Brasileiro S.A. - Petrobras,11/25/2015,48.00
Shell,11/25/2015,42.66
Petróleo Brasileiro S.A. - Petrobras,11/26/2015,48.00
BP,11/27/2015,29.79
Petróleo Brasileiro S.A. - Petrobras,11/27/2015,48.00
Shell,11/27/2015,42.78
BP,11/30/2015,29.60
Petróleo Brasileiro S.A. - Petrobras,11/30/2015,48.00
Shell,11/30/2015,42.52
BP,12/1/2015,29.74
Petróleo Brasileiro S.A. - Petrobras,12/1/2015,48.00
Shell,12/1/2015,42.81
BP,12/2/2015,28.93
Petróleo Brasileiro S.A. - Petrobras,12/2/2015,48.00
Shell,12/2/2015,42.38
BP,12/3/2015,28.45
Petróleo Brasileiro S.A. - Petrobras,12/3/2015,48.00
Shell,12/3/2015,42.01
BP,12/4/2015,27.95
Petróleo Brasileiro S.A. - Petrobras,12/4/2015,48.00
Shell,12/4/2015,41.38
BP,12/7/2015,26.74
Shell,12/7/2015,39.56
BP,12/8/2015,26.75
Shell,12/8/2015,39.13
BP,12/9/2015,27.21
Petróleo Brasileiro S.A. - Petrobras,12/9/2015,48.00
Shell,12/9/2015,40.02
BP,12/10/2015,27.20
Petróleo Brasileiro S.A. - Petrobras,12/10/2015,48.00
Shell,12/10/2015,39.47
BP,12/11/2015,26.34
Petróleo Brasileiro S.A. - Petrobras,12/11/2015,48.00
Shell,12/11/2015,38.06
BP,12/14/2015,25.85
Petróleo Brasileiro S.A. - Petrobras,12/14/2015,30.00
Shell,12/14/2015,37.56
BP,12/15/2015,26.30
Petróleo Brasileiro S.A. - Petrobras,12/15/2015,30.00
Shell,12/15/2015,38.18
BP,12/16/2015,26.41
Petróleo Brasileiro S.A. - Petrobras,12/16/2015,30.00
Shell,12/16/2015,38.15
BP,12/17/2015,25.96
Petróleo Brasileiro S.A. - Petrobras,12/17/2015,30.00
Shell,12/17/2015,37.18
BP,12/18/2015,25.79
Petróleo Brasileiro S.A. - Petrobras,12/18/2015,30.00
Shell,12/18/2015,37.35
BP,12/21/2015,25.77
Petróleo Brasileiro S.A. - Petrobras,12/21/2015,30.00
Shell,12/21/2015,37.18
BP,12/22/2015,26.34
Petróleo Brasileiro S.A. - Petrobras,12/22/2015,30.00
Shell,12/22/2015,37.97
BP,12/23/2015,27.67
Petróleo Brasileiro S.A. - Petrobras,12/23/2015,30.00
Shell,12/23/2015,40.18
BP,12/24/2015,27.48
Shell,12/24/2015,39.53
BP,12/28/2015,27.12
Petróleo Brasileiro S.A. - Petrobras,12/28/2015,30.50
Shell,12/28/2015,39.16
BP,12/29/2015,27.26
Petróleo Brasileiro S.A. - Petrobras,12/29/2015,30.50
Shell,12/29/2015,39.73
BP,12/30/2015,26.78
Petróleo Brasileiro S.A. - Petrobras,12/30/2015,30.50
Shell,12/30/2015,39.30
BP,12/31/2015,26.74
Shell,12/31/2015,39.13
BP,1/4/2016,26.57
Exxon,1/4/2016,71.34
