Date,Cost Per Thousand
6/10/2017,4.690624288
6/11/2017,4.35452971
6/12/2017,4.985103693
6/13/2017,4.937584022
6/14/2017,4.676548392
6/15/2017,4.380023872
6/16/2017,3.096736835
6/17/2017,4.354363804
6/18/2017,4.551109754
6/19/2017,4.378158436
6/20/2017,4.543635477
6/21/2017,4.635782783
6/22/2017,4.295115277
6/23/2017,4.504143195
6/24/2017,3.051384017
6/25/2017,4.202642361
6/26/2017,4.304755299
6/27/2017,4.702281022
6/28/2017,4.715376605
6/29/2017,6.094340561
7/1/2017,4.285317019
7/2/2017,7.188362818
7/3/2017,7.759038863
7/4/2017,7.893825022
7/5/2017,7.612095933
7/6/2017,2.93837072
7/7/2017,7.433954246
7/8/2017,7.491784486
7/9/2017,3.046761869
7/10/2017,8.242744506
7/11/2017,8.457689607
7/12/2017,9.362546507
7/13/2017,7.801017524
7/14/2017,2.965290754
7/15/2017,2.93443131
7/16/2017,10.48878473
7/17/2017,10.78625134
7/18/2017,9.705286839
7/19/2017,1.375795068
7/20/2017,10.90869312
7/21/2017,10.26464683
7/22/2017,11.68801809
7/23/2017,9.455539705
7/24/2017,1.348128251
7/25/2017,12.45798319
7/26/2017,13.25008005
7/27/2017,11.02476516
7/28/2017,15.25904762
7/29/2017,11.63191763
7/30/2017,12.40682689
8/1/2017,0.970427912
8/2/2017,0.845770954
8/3/2017,1.043327411
8/4/2017,0.720931282
8/5/2017,13.14221891
8/6/2017,10.51538654
8/7/2017,0.849393356
8/8/2017,1.15777652
8/9/2017,1.108274756
8/10/2017,1.047206299
8/11/2017,0.809202394
8/12/2017,11.9347181
8/13/2017,10.6097561
8/14/2017,0.865391608
8/15/2017,2.090140345
8/16/2017,2.060776336
8/17/2017,2.15293837
8/18/2017,1.960364115
8/19/2017,4.303338524
8/20/2017,4.668898903
8/21/2017,1.574199071
8/22/2017,2.277362636
8/23/2017,2.131037147
8/24/2017,1.772137669
8/25/2017,3.410470482
8/26/2017,2.542677315
8/27/2017,3.154490121
8/28/2017,1.885209279
8/29/2017,1.680571644
8/30/2017,1.943259458
9/1/2017,1.886709585
9/2/2017,2.603934947
9/3/2017,2.406440788
9/4/2017,2.047666662
9/5/2017,1.951880548
9/6/2017,1.942879088
9/7/2017,1.92731817
9/8/2017,1.941229804
9/9/2017,2.323512204
9/10/2017,2.268210627
9/11/2017,1.957952126
9/12/2017,1.978898
9/13/2017,2.077254569
9/14/2017,2.04940123
9/15/2017,1.995432422
9/16/2017,2.197806939
9/17/2017,2.085763473
9/18/2017,1.971596778
9/19/2017,1.967603888
9/20/2017,1.935359035
9/21/2017,2.100486509
9/22/2017,2.119198665
9/23/2017,2.186931133
9/24/2017,2.228886556
9/25/2017,1.993786436
9/26/2017,2.065155534
9/27/2017,1.989556859
9/28/2017,1.600847826
9/29/2017,1.161390248
10/2/2017,6.67859821
10/3/2017,0.552647675
10/4/2017,0.652594705
10/5/2017,0.847843795
10/6/2017,0.782547952
10/9/2017,0.780697945
10/10/2017,0.778478717
10/11/2017,0.790373576
10/12/2017,0.861509737
10/13/2017,0.863922167
10/16/2017,0.785708888
10/17/2017,0.806458923
10/18/2017,0.789698858
10/19/2017,0.865662769
10/20/2017,0.877515384
10/23/2017,0.951388992
10/24/2017,0.832340912
10/25/2017,0.831553825
10/26/2017,0.875205634
10/27/2017,0.827856212
10/30/2017,0.73537267
11/9/2017,9.716312057
11/10/2017,5.332551148
11/11/2017,3.211615155
11/12/2017,4.665136376
11/13/2017,4.948372293
11/14/2017,4.491595069
11/15/2017,4.834244703
11/16/2017,5.174620589
11/17/2017,5.02778865
11/18/2017,4.351213084
11/19/2017,6.20058504
11/20/2017,4.4580217
11/21/2017,4.467798716
11/22/2017,4.654397603
11/23/2017,4.16983054
11/24/2017,4.316083916
11/25/2017,3.982133189
11/26/2017,4.018584071
11/27/2017,3.990107841
11/28/2017,4.188163885
11/29/2017,4.368345618
11/30/2017,4.587207348
12/1/2017,4.130921465
12/2/2017,3.863984847
12/3/2017,3.909375544
12/4/2017,4.120118636
12/5/2017,4.088990206
12/6/2017,4.116639548
12/7/2017,4.018861395
12/8/2017,4.213463242
12/9/2017,3.993913355
12/10/2017,3.983901679
12/11/2017,4.081090348
12/12/2017,3.338512332
12/13/2017,3.686318338
12/14/2017,3.861892583
12/15/2017,3.893360161
12/16/2017,4.520380239
12/17/2017,4.037096774
12/18/2017,4.551484268
12/19/2017,3.887831308
12/20/2017,3.995544755
12/21/2017,4.091771606
12/22/2017,3.968304568
12/23/2017,4.172884625
12/24/2017,4.211568737
12/25/2017,4.12512364
12/26/2017,4.239187701
12/27/2017,4.135888179
12/28/2017,4.071286566
12/29/2017,4.177764326
12/30/2017,3.986893281
12/31/2017,3.606219558
1/1/2018,3.979609321
1/2/2018,4.16574303
1/3/2018,5.018702847
1/4/2018,4.653026337
1/5/2018,4.815864023
1/6/2018,4.657174285
1/7/2018,4.233250887
1/8/2018,4.244414473
1/9/2018,3.920346789
1/10/2018,3.864905498
1/11/2018,3.908848062
1/12/2018,3.830848498
1/13/2018,3.746839529
1/14/2018,3.795118222
1/15/2018,3.73919223
1/16/2018,3.775781902
1/17/2018,3.705601491
1/18/2018,3.870083091
1/19/2018,3.65505076
1/20/2018,3.586826347
1/21/2018,3.505083577
1/22/2018,3.546796354
1/23/2018,3.600319411
1/24/2018,3.714039745
1/25/2018,3.841071962
1/26/2018,3.65511731
1/27/2018,3.559753768
1/28/2018,3.571810883
1/29/2018,3.723045126
1/30/2018,3.632986627
1/31/2018,3.689523744
2/1/2018,3.743445646
2/2/2018,3.304762278
2/3/2018,3.379873495
2/4/2018,3.318851788
2/5/2018,3.481352127
